id,tag,section,category,aliases,sources
tag_d93f6a51f3,100% Completion Bonus,SFW,Format,100% Completion Reward,VNDB
tag_8227ad9754,1001 Nights,SFW,Theme,,VNDB
tag_5b54e10472,19th Century,SFW,Theme,1800s|Nineteenth Century|Victorian Era,VNDB
tag_9dd2802487,20's,SFW,Theme,,VNDB
tag_fcccb46de7,2000s,SFW,Theme,00s,VNDB
tag_a96568dc60,2010s,SFW,Theme,The '10s|Twenty-tens,VNDB
tag_6c895fd976,2020s,SFW,Theme,The '20s,VNDB
tag_b741849b90,2030s,SFW,Theme,'30s|The '30s,VNDB
tag_3c25ec54cc,20th Century,SFW,Theme,,VNDB
tag_d8044de18d,21st Century,SFW,Theme,,VNDB
tag_2c0b6e563f,30's,SFW,Theme,,VNDB
tag_55fac25c11,3d,NSFW,Sexual,3D,E-Hentai
tag_a6cc8ae86a,3D Graphics,SFW,Format,,VNDB
tag_8673a6e6ef,3d Imageset,NSFW,Sexual,3D图片集|3d imageset,E-Hentai
tag_12c5ccd4da,4-Koma,SFW,Format,4 koma,MangaDex
tag_b8ed128093,40's,SFW,Theme,,VNDB
tag_29e37a9afb,50's,SFW,Theme,,VNDB
tag_4e19547664,60's,SFW,Theme,,VNDB
tag_491e806874,70's,SFW,Theme,,VNDB
tag_d0e4986e7d,80's,SFW,Theme,,VNDB
tag_6b987fc9f2,90's,SFW,Theme,Nineties,VNDB
tag_4808d65f51,Abortion,NSFW,Character,abortion|堕胎,E-Hentai|NHentai
tag_c2214b2b09,Absorption,NSFW,Character,absorption|吸收,E-Hentai|NHentai
tag_2b109dff61,Absurdist Comedy,SFW,Genre,Bizarre Comedy|Comedic Nonsense|Nonsensical Humor|Surreal Comedy,VNDB
tag_69a7cda85c,Absurdist Humour,SFW,Theme,absurdist humour,Kitsu
tag_6e373659f3,Achievements,SFW,Format,Trophies,VNDB
tag_70966c0342,Achromatic,SFW,Theme,,AniList
tag_54d2953387,Achronological Order,SFW,Theme,,AniList
tag_17c6eb9052,Acrobatics,SFW,Theme,,AniList
tag_d9fc177907,Acting,SFW,Theme,,AniList
tag_418c5509e2,Action,SFW,Genre,,CinemaTaxonomy|Kitsu|MangaDex|MangaUpdates|VNDB
tag_8fed31895e,Action Game,SFW,Format,,VNDB
tag_430d8a8469,Actor Hero,SFW,Character,,VNDB
tag_e9e58a9d52,Actor/Actress Protagonist,SFW,Character,,VNDB
tag_0904f6f178,Actress Heroine,SFW,Character,,VNDB
tag_7278ff6867,Adaptation,SFW,Format,Based on Another Work,MangaDex|VNDB
tag_b6077cff5d,Addict Hero,SFW,Character,Addicted Hero|Junkie Hero,VNDB
tag_4b7458c874,Addict Heroine,SFW,Character,Junkie Heroine,VNDB
tag_4af785d540,Addict Protagonist,SFW,Character,Junkie Protagonist,VNDB
tag_81e82b79df,Additional Eyes,NSFW,Character,additional eyes|多眼,E-Hentai
tag_319495d3f4,Adoption,SFW,Theme,,AniList
tag_2e85a22d0f,Adult,NSFW,Genre,,MangaUpdates
tag_60985e32bb,Adult Breast Sucking,NSFW,Body,Adult Breast Feeding|Adult Breastfeeding|Adult Nursing|Adult Suckling|Erotic Lactation,VNDB
tag_ef88d508db,Adult Hero,SFW,Character,Seinen Hero,VNDB
tag_f39ac33d4c,Adult Heroine,SFW,Character,Josei Heroine|Jousei Heroine,VNDB
tag_cc8883b008,Adult Protagonist,SFW,Character,,VNDB
tag_4acedbc1e8,Adv,SFW,Format,ADV|AVG|Part-screen Textbox,VNDB
tag_7d934addc0,Adventitious Mouth,NSFW,Character,adventitious mouth|畸位口,E-Hentai|NHentai
tag_1cc6c5421a,Adventitious Penis,NSFW,Body,adventitious penis|畸位阴茎,E-Hentai|NHentai
tag_a111bb3498,Adventitious Vagina,NSFW,Body,adventitious vagina|畸位阴道,E-Hentai|NHentai
tag_7cb4872d41,Adventure,SFW,Genre,,CinemaTaxonomy|Kitsu|MangaDex|MangaUpdates
tag_f4f52c274b,Africa,SFW,Theme,,Kitsu
tag_91ad2d462b,Afro,NSFW,Character,afro|爆炸头,E-Hentai|NHentai
tag_c15634e44c,Afterlife,SFW,Theme,Spiritual Realm,AniList|VNDB
tag_31d2697676,Age Gap,SFW,Theme,,AniList
tag_a34e9e3734,Age Progression,NSFW,Character,age progression|年龄增长,E-Hentai|NHentai
tag_33f0146260,Age Regression,NSFW,Character,age regression|返老还童,AniList|E-Hentai|NHentai
tag_d456ff2a51,Agender,SFW,Theme,,AniList
tag_f8ea9e07f5,Agriculture,SFW,Theme,,AniList
tag_95f7711cfd,Ahegao,NSFW,Fetish,Ahe Gao|Ahe-gao|Ahegaokin|Fucked silly|Sloppy face sex|ahegao|アヘ顔|阿黑颜,E-Hentai|Kitsu|NHentai|VNDB
tag_989adf8f94,Ai Generated,NSFW,Sexual,AI生成|ai generated,E-Hentai
tag_d9db8bca97,AI-generated Assets,SFW,Format,ai generated assets,VNDB
tag_25cb61fe0a,AI-generated Graphics,SFW,Format,AI-generated Art|Artificial Intelligence Art|ai generated graphics,VNDB
tag_dc435242e8,AI-generated Music,SFW,Format,ai generated music,VNDB
tag_bfd8b47a67,AI-generated Story,SFW,Format,ai generated story,VNDB
tag_5443e6aa61,AI Hero,SFW,Character,Artificial Intelligence Hero,VNDB
tag_82db053aa2,AI Heroine,SFW,Character,Artificial Intelligence Heroine,VNDB
tag_7ca885c6b4,AI Protagonist,SFW,Character,Artificial Intelligence Protagonist,VNDB
tag_76b3e8f8f7,Air Force,SFW,Theme,air force,Kitsu
tag_6681c4945a,Airhead Hero,SFW,Character,Ditz Hero|Idiot Hero|Stupid Hero,VNDB
tag_a266d55429,Airhead Heroine,SFW,Character,Ditz Heroine|Idiot Heroine|Stupid Heroine,VNDB
tag_d7445e8fa4,Airhead Protagonist,SFW,Character,,VNDB
tag_45ea37a8b0,Airplane,SFW,Theme,Aeroplane|Fixed-wing aircraft,VNDB
tag_2bb5d126d7,Airplane Combat,SFW,Theme,Dog Fight|Dogfight,VNDB
tag_e5f9063e1e,Airsoft,SFW,Theme,,AniList
tag_cbe7855c7a,Albino,NSFW,Character,albino|白化,E-Hentai|NHentai
tag_a756b5e434,Albino Hero,SFW,Character,,VNDB
tag_4d88800de1,Albino Heroine,SFW,Character,,VNDB
tag_7b0624e092,Albino Protagonist,SFW,Character,,VNDB
tag_a6c674204c,Alchemy,SFW,Theme,,AniList|VNDB
tag_200835bcb8,Alcoholism,SFW,Theme,alcohol abuse,VNDB
tag_273910799e,Alien,NSFW,Character,alien|外星人👽,E-Hentai|Kitsu|NHentai
tag_60a9304ada,Alien Girl,NSFW,Character,alien girl|外星女👽,E-Hentai|NHentai
tag_ecbc043e2f,Alien Hero,SFW,Character,Extraterrestrial Hero,VNDB
tag_bbdae826eb,Alien Heroine,SFW,Character,Extraterrestrial Heroine,VNDB
tag_4f017c438c,Alien Protagonist,SFW,Character,Extraterrestrial Protagonist,VNDB
tag_32d0f9f324,Aliens,SFW,Theme,,AniList|MangaDex
tag_96bd97206f,All-boys School,SFW,Setting,all boys school,VNDB
tag_1d9ef0c2ff,All-girls School,SFW,Setting,All Girls School|all girls school,Kitsu|VNDB
tag_07c2611c1a,All Just a Dream,SFW,Theme,All Just a Hallucination|Dream Reveal|Dream Twist Ending|Dying Dream|Only A Dream,VNDB
tag_05f888c9b8,All the Way Through,NSFW,Sexual,All-the-Way Through|all the way through|消化道贯穿,E-Hentai|NHentai|VNDB
tag_2be3d042b5,Already Uploaded,NSFW,Sexual,already uploaded|已上传,E-Hentai
tag_9827a4b670,Alternate Dimensions,SFW,Theme,Alternative Reality|Parallel Universe,VNDB
tag_bc991d1016,Alternate Starting Point,SFW,Format,,VNDB
tag_25b29b7467,Alternate Universe,SFW,Theme,,AniList
tag_3c4ede888f,Alternative Past,SFW,Theme,alternative past,Kitsu
tag_31911560d6,Alternative Present,SFW,Theme,alternative present,Kitsu
tag_b440d314c7,Ambient Sounds,SFW,Format,Ambient Effects|Atmospheric Sounds|Environmental Sounds,VNDB
tag_41b56f1679,Americas,SFW,Theme,,Kitsu
tag_d4c72e84ff,Amnesia,SFW,Story,Memory Loss,AniList|VNDB
tag_5da3a053ae,Amnesiac Hero,SFW,Character,Hero with Memory Loss,VNDB
tag_6afb20ff5e,Amnesiac Heroine,SFW,Character,Heroine with Memory Loss,VNDB
tag_c66b04ad11,Amnesiac Protagonist,SFW,Character,,VNDB
tag_c4a317a734,Amphibians,SFW,Theme,,VNDB
tag_9566f7087c,Amputation,SFW,Theme,,AniList
tag_d62232c8d4,Amputee,NSFW,Character,amputee|截肢,E-Hentai|NHentai
tag_749b2e3ab5,Amusement Park,SFW,Theme,Theme Park,VNDB
tag_75f5782e6b,Anachronism,SFW,Theme,,AniList
tag_f9c62d5a98,Anaglyph,NSFW,Sexual,anaglyph|红蓝3D,E-Hentai
tag_347341c085,Anal,NSFW,Acts,anal|爆肛,E-Hentai|NHentai
tag_cdb867fc37,Anal Birth,NSFW,Acts,anal birth|肛门出产,E-Hentai|NHentai
tag_caf076132c,Anal Egg Laying,NSFW,Acts,Anal Oviparity,VNDB
tag_1eae7445f2,Anal Fingering,NSFW,Acts,,VNDB
tag_80bee69005,Anal Fisting,NSFW,Acts,,VNDB
tag_0c7e77ef4a,Anal Gaping,NSFW,Acts,,VNDB
tag_11049cd19f,Anal Intercourse,NSFW,Acts,anal intercourse|肛交,E-Hentai|NHentai
tag_db010236be,Anal Liquid Expulsion,NSFW,Acts,Enema Expulsion,VNDB
tag_5491409248,Anal Masturbation,NSFW,Acts,Self Prostate Massage,VNDB
tag_a1a82f5ee0,Anal Monster Birth,NSFW,Fetish,Anal Birthing Monsters|Anal Birthing Non-Human Creatures|Anal Viviparous Monster Birth,VNDB
tag_659298f0c9,Anal Multiple Fisting,NSFW,Acts,,VNDB
tag_9e1cfc4dec,Anal Multiple Objects Insertion,NSFW,Acts,,VNDB
tag_1668d58d8a,Anal Multiple Penetration,NSFW,Acts,,VNDB
tag_82a113d89f,Anal Multiple Tentacle Penetration,NSFW,Fetish,,VNDB
tag_d3de36c9b1,Anal Object Expulsion,NSFW,Acts,Anal Grapeshot|Anal Object Explosion|Object Expulsion (anal),VNDB
tag_767dff1a7d,Anal Object Insertion,NSFW,Acts,,VNDB
tag_b9e5a23d5e,Anal Penetration,NSFW,Acts,,VNDB
tag_73b9c00342,Anal Plug Tail,NSFW,Body,Anal Tail|Butt Plug Tail,VNDB
tag_1302dc1bf8,Anal Prolapse,NSFW,Acts,anal prolapse|脱肛,E-Hentai|NHentai
tag_bf5b983e2c,Anal Rape,NSFW,Acts,,VNDB
tag_1893596d37,Anal Sex,NSFW,Acts,Anal Intercourse|Ass Fucking|Buttsex|Fudge Packing,VNDB
tag_89a416ebbc,Anal Toys,NSFW,Acts,anal beads|anal probe|anal vibrator|butt plug,VNDB
tag_2815935952,Anal Vore,NSFW,Paraphilic/Fetish,Anal Unbirthing,VNDB
tag_fdcef94fde,Analphagia,NSFW,Acts,analphagia|肛门吞食,E-Hentai|NHentai
tag_e512623d1a,Ancient China,SFW,Theme,,AniList
tag_01db2f8750,Ancient Rome,SFW,Theme,Ancient Roman Empire|Ancient Roman Kingdom|Ancient Roman Republic,VNDB
tag_123243158c,Androgynous Hero,SFW,Character,Bishonen Hero|Bishounen Hero,VNDB
tag_d07b124495,Androgynous Heroine,SFW,Character,Bifauxnen Heroine,VNDB
tag_f2e322cc0c,Androgynous Protagonist,SFW,Character,,VNDB
tag_c31b32364c,Android,SFW,Theme,,Kitsu
tag_2e17223c10,Androphobic Heroine,SFW,Character,Heroine with Androphobia,VNDB
tag_f4f068e71e,Angel,SFW,Character,angel|天使,E-Hentai|Kitsu|NHentai
tag_ee275e2f6a,Angel Hero,SFW,Character,,VNDB
tag_e0217c0e3e,Angel Heroine,SFW,Character,,VNDB
tag_88da741cea,Angel Protagonist,SFW,Character,Tenshi Protagonist,VNDB
tag_82a7c395a8,Angels,SFW,Character,,AniList|VNDB
tag_270fc93ebe,Angst,SFW,Theme,,Kitsu
tag_38fefd6b24,Anilingus,NSFW,Sexual,Anal–oral sex|Rim job|Rimming,VNDB
tag_60f04b9d1a,Animal Cosplay,SFW,Theme,Animalistic Cosplay,VNDB
tag_0331f62843,Animal Cruelty,SFW,Theme,Animal Abuse|Animal Neglect,VNDB
tag_04dedd4f58,Animal on Animal,NSFW,Character,animal on animal|兽兽,E-Hentai|NHentai
tag_660097ed81,Animal on Furry,NSFW,Character,animal on furry|兽毛,E-Hentai|NHentai
tag_44c75d375e,Animal Protagonist,SFW,Character,Protagonist Trapped in the Body of an Animal,VNDB
tag_a723e3dfb4,Animals,SFW,Theme,,AniList|MangaDex|VNDB
tag_1182af033a,Animated,NSFW,Sexual,animated|动图,E-Hentai|NHentai
tag_76a36d39ba,Animated Ending,SFW,Format,Animated ED|Ending Animation|Ending Video,VNDB
tag_6f1c25ed15,Animation,SFW,Genre,,CinemaTaxonomy
tag_11a5da8346,Animation Toggle,SFW,Format,Animation On/Off,VNDB
tag_f17e387dfc,Anime Influenced,SFW,Theme,anime influenced,Kitsu
tag_da64e5cd73,Anime-looking 3D,SFW,Format,Anime-style 3D|Cartoon-looking 3D|Cartoon-style 3D|Koikatsu Graphics|anime looking 3d,VNDB
tag_117c084177,Animegao,NSFW,Character,animegao|头壳,E-Hentai|NHentai
tag_280cf0358f,Announcer Hero,SFW,Character,News Presenter Hero|Sports presenter Hero|Television Presenter Hero|Weather Presenter Hero,VNDB
tag_a081c7be8a,Announcer Heroine,SFW,Character,News presenter|Sports presenter|Television presenter|Weather presenter,VNDB
tag_9c8c0dd7a0,Anorexic,NSFW,Character,anorexic|瘦骨嶙峋,E-Hentai|NHentai
tag_c1a6990f42,Anthology,NSFW,Format,Compilation of Stories|Multiple Stories|Omnibus|Story Collection|anthology|选集,CinemaTaxonomy|E-Hentai|MangaDex|NHentai|VNDB
tag_6409b4ea86,Anthropomorphism,SFW,Theme,,AniList|Kitsu
tag_4fafe4d20f,Anthropomorphized Inanimate Object,SFW,Theme,Gijinka|Humanization|擬人化,VNDB
tag_080cf078ee,Anti-Hero,SFW,Character,Dark Hero|Pragmatic MC|anti hero,AniList|ManhwaTaxonomy
tag_1afa3ccd84,Anti War,SFW,Theme,anti war,Kitsu
tag_9f804100b2,Antihero Protagonist,SFW,Character,antiheroine protagonist,VNDB
tag_649d02fc08,Apartment Building,SFW,Theme,,VNDB
tag_c076339d65,Apocalypse,SFW,Setting,Armageddon|Cataclysm|Doomsday|End of the World|Post-Apocalyptic|Ragnarok|World End,ManhwaTaxonomy|VNDB
tag_315b2fc7e4,Apparel Bukkake,NSFW,Character,apparel bukkake|穿衣颜射,E-Hentai|NHentai
tag_cc5540f3b4,April Fool's,SFW,Format,April Fools,VNDB
tag_c700b30405,Apron,NSFW,Appearance,apron|围裙,E-Hentai|NHentai
tag_362e115fe5,Aquarium,SFW,Theme,Water Zoo,VNDB
tag_abd192a8f8,Arabian-Style Palace,SFW,Theme,Middle Eastern Style Palace|arabian style palace,VNDB
tag_2ececd0e63,Arcade,SFW,Theme,Amusement Arcade|Game Center|Gaming Center|Video Arcade,VNDB
tag_56c79c07ff,Archaeology,SFW,Theme,Anthropology|Archeology,VNDB
tag_c5d99ca145,Archer Hero,SFW,Character,Bowman Hero,VNDB
tag_5d9dfcd381,Archer Heroine,SFW,Character,Bowman Heroine,VNDB
tag_519c965f02,Archery,SFW,Theme,,AniList
tag_43153c89ed,Archery Club,SFW,Theme,,VNDB
tag_2ffb0a8987,Arcology,SFW,Theme,,VNDB
tag_f2f645b7cf,Arena,SFW,Theme,Amphitheatre,VNDB
tag_b50f10bbbc,Arkanoid Game,SFW,Format,Breakout,VNDB
tag_8fd32f3d34,Armbinder,NSFW,Sexual,Monoglove,VNDB
tag_c4859930b4,Armpit Licking,NSFW,Sexual,armpit licking|腋下舔,E-Hentai|NHentai|VNDB
tag_d8ad8f5094,Armpit Sex,NSFW,Acts,Axillary Intercourse|Bag-piping|Pit-job|armpit sex|腋交,E-Hentai|NHentai|VNDB
tag_7279b727fc,Aromantic,SFW,Theme,,AniList
tag_3132317f9f,Arranged Marriage,SFW,Relationship,Political Marriage|Pre-Arranged Marriage,AniList|ManhwaTaxonomy|VNDB
tag_4f342a9dbd,Arrogant Hero,SFW,Character,Aloof Hero|Class-conscious Hero|Elitist Hero|Immodest Hero|Snob Hero|Stuck-up Hero|Takabi Hero,VNDB
tag_f1a3abbcc0,Arrogant Heroine,SFW,Character,Class-conscious Heroine|Elitist Heroine|Immodest Heroine|Snob Heroine|Takabi Heroine,VNDB
tag_d6ff9479ef,Arrogant Protagonist,SFW,Character,Class-conscious Protagonist|Elitist Protagonist|Immodest Protagonist|Snob Protagonist|Takabi Protagonist,VNDB
tag_5c0225e12c,Artbook,NSFW,Sexual,artbook|画集,E-Hentai|NHentai
tag_2dd0692ccb,Artificial Intelligence,SFW,Theme,AI,AniList|VNDB
tag_97434460fe,Artist Hero,SFW,Character,,VNDB
tag_e63b8b787c,Artist Heroine,SFW,Character,,VNDB
tag_a230ab8389,Artist Protagonist,SFW,Character,,VNDB
tag_7f9bd2eb24,Asexual,SFW,Theme,,AniList
tag_9e9d5668fd,Asexual Characters,SFW,Theme,,VNDB
tag_cffe819d44,Asia,SFW,Theme,,Kitsu|VNDB
tag_a55ca10e2f,Asian-style Castle,SFW,Theme,asian style castle,VNDB
tag_6bb9958554,Asian-style Manor,SFW,Theme,Asian-style Mansion|asian style manor,VNDB
tag_e1549ad482,Asian-style Palace,SFW,Theme,asian style palace,VNDB
tag_df310853a9,Asphyxiation,NSFW,Character,asphyxiation|窒息,E-Hentai|NHentai
tag_4586bf68de,Ass Expansion,NSFW,Character,ass expansion|臀部膨胀,E-Hentai|NHentai
tag_6b357488d1,Ass To Mouth,NSFW,Sexual,A2M|ATM,VNDB
tag_adafff23fe,Assassin,SFW,Theme,,Kitsu
tag_4d930eb0bf,Assassin Hero,SFW,Character,Hitman Hero|Killer-for-hire Hero|Trained Killer Hero,VNDB
tag_a93fc317d5,Assassin Heroine,SFW,Character,Hitman Heroine|Killer-for-hire Heroine|Trained Killer Heroine,VNDB
tag_0ae1bfa2f1,Assassin Protagonist,SFW,Character,Contract Killer Protagonist|Hired Killer Protagonist|Hitman Protagonist|Killer-for-hire Protagonist|Professional Killer Protagonist|Trained Killer Protagonist,VNDB
tag_83fd8d4d64,Assassins,SFW,Theme,,AniList
tag_8b9c6cab49,Assjob,NSFW,Character,assjob|尻交,E-Hentai|NHentai
tag_27e15e728c,Astronomy,SFW,Theme,,AniList|VNDB
tag_77e26c57a6,Astronomy Club,SFW,Theme,Cosmology Club,VNDB
tag_05bafba4bd,Athlete Hero,SFW,Character,Athletic Hero|Sporty Hero,VNDB
tag_dc6678a88d,Athlete Heroine,SFW,Character,Athletic Heroine,VNDB
tag_54a04a0684,Athlete Protagonist,SFW,Character,Sportsman Protagonist|Sportswoman Protagonist|Sporty Protagonist,VNDB
tag_cd66f33d0b,Athletics,SFW,Theme,,AniList
tag_e3103f3125,Athletics Festival,SFW,Theme,School Sports Festival,VNDB
tag_6fbc1cf35b,Attempted Rape,NSFW,Situation,,VNDB
tag_c0af8aa18f,Attempted Suicide,SFW,Theme,Failed Suicide Attempt,VNDB
tag_3f07c0296b,Augmented Reality,SFW,Theme,,AniList
tag_3824bbe9ba,Aunt,NSFW,Character,aunt|阿姨,E-Hentai|NHentai
tag_51fdf2110b,Aunt/Nephew Incest,NSFW,Relationship,,VNDB
tag_261c655558,Aunt/Niece Incest,NSFW,Relationship,,VNDB
tag_fb2a54d637,Australia,SFW,Theme,,VNDB
tag_1478dcd5d6,Author Commentary Mode,SFW,Format,Commentary Track|Staff Commentary Mode,VNDB
tag_f3b97e8026,Autistic Hero,SFW,Character,Hero with Autism,VNDB
tag_d8b5efc3bd,Autistic Heroine,SFW,Character,Heroine with Autism,VNDB
tag_6380093f38,Autistic Protagonist,SFW,Character,Protagonist with Autism,VNDB
tag_86e7725991,Auto Battler,SFW,Format,Auto Chess,VNDB
tag_f6adfdf6de,Auto-Boobjob,NSFW,Sexual,Auto-Titfuck|Self Boobjob|Self Titfuck|auto boobjob,VNDB
tag_be22fce4a4,Autobiographical,SFW,Theme,,AniList
tag_aab36344bb,Autobukkake,NSFW,Sexual,Autofacial|Self Bukkake|Self Facial,VNDB
tag_4c831e217f,Autocunnilingus,NSFW,Acts,Auto Pussy Licking|Auto-cunnilingus,VNDB
tag_25937f894b,Autofellatio,NSFW,Acts,Auto-fellatio|Self Blowjob|Sellfsuck|autofellatio|自吹,E-Hentai|NHentai|VNDB
tag_1f3c93d510,Autopaizuri,NSFW,Acts,autopaizuri|自乳交,E-Hentai|NHentai
tag_9a88b23b4b,Autopenetration,NSFW,Acts,Auto-Penetration|Self Penetration,VNDB
tag_096fbfddbd,Autosave Only,SFW,Format,No Save Slots,VNDB
tag_3a4b5f2f80,Autumn,SFW,Theme,Fall Season,VNDB
tag_ad43d263c6,Aviation,SFW,Theme,,AniList
tag_d7de7fd5f5,Avoidable Death of Hero (obsolete),SFW,Character,,VNDB
tag_8a18937b07,Avoidable Death of Heroine (obsolete),SFW,Character,,VNDB
tag_db709cfcd6,Avoidable Death of Protagonist (obsolete),SFW,Character,,VNDB
tag_e6ac8b4252,Avoidable Netorare (obsolete),NSFW,Fetish,Avoidable NTR|Avoidable stealing of heroine from protagonist,VNDB
tag_a596b5dcbf,Avoidable Rape,NSFW,Situation,,VNDB
tag_de71059d0b,Awakened,SFW,Theme,Awakening|Esper,ManhwaTaxonomy
tag_c76c3e3251,Award Winning,SFW,Format,,MangaDex
tag_4307cf1c53,Axe Combat,SFW,Theme,Combat with Axes,VNDB
tag_aa627cd0b0,Axis Powers Hetalia,SFW,Theme,APH,VNDB
tag_fd2469812a,Babysitting,SFW,Theme,childminding,VNDB
tag_030a50ae0d,Back Skip Function,SFW,Format,Skip Backward,VNDB
tag_1a4e9656d4,Background Moans,NSFW,Sexual,Background Groaning|Background Voices|Erotic Voices,VNDB
tag_f3b806e037,Backlog Jump,SFW,Format,Jump Back Function|Quick Rewind,VNDB
tag_12737793a7,Bad Ending(s),SFW,Format,Bad Endings,VNDB
tag_9d55f2848c,Bad Endings with Story,SFW,Format,,VNDB
tag_8ebda118a2,Bad True End,SFW,Format,Bad One True End,VNDB
tag_019b0b2711,Badminton,SFW,Theme,,AniList|VNDB
tag_7f7f1fb3f4,Baker Hero,SFW,Character,Pastry Chef Hero|Patissier Hero|Pâtissier Hero,VNDB
tag_40c490213f,Baker Heroine,SFW,Character,Patissiere Heroine|Pâtissière Heroine,VNDB
tag_0f9135f39e,Baker Protagonist,SFW,Character,Pastry chef|Patissier Protagonist,VNDB
tag_e0fbb3ae1b,Bakumatsu Era,SFW,Theme,Late Tokugawa Shogunate,VNDB
tag_3676700f93,Bakumatsu   Meiji Period,SFW,Theme,bakumatsu meiji period,Kitsu
tag_ff9bb8d91e,Bald,NSFW,Character,bald|秃顶,E-Hentai|NHentai
tag_7b14d5a0a7,Bald Hero,SFW,Character,,VNDB
tag_d78d70f50c,Bald Heroine,SFW,Character,,VNDB
tag_e20b981a81,Bald Protagonist,SFW,Character,,VNDB
tag_721b4700fc,Ball Caressing,NSFW,Character,ball caressing|揉蛋,E-Hentai
tag_38a35b5eb1,Ball-cupping,NSFW,Sexual,Ball-cradling|Ball-fondling|ball cupping,VNDB
tag_77c9c024a9,Ball Less Shemale,NSFW,Character,ball-less shemale|无蛋人妖,E-Hentai
tag_450d37e236,Ball Sucking,NSFW,Character,ball sucking|吸球,E-Hentai|NHentai
tag_a0106227d1,Ballbusting,NSFW,Sexual,Ball-Busting,VNDB
tag_8f24ad116b,Balljob,NSFW,Sexual,balljob|球交,E-Hentai|NHentai|VNDB
tag_b0250a77c6,Balls Expansion,NSFW,Character,balls expansion|睾丸生长,E-Hentai|NHentai
tag_963e1bbcf6,Balls Sucking,NSFW,Sexual,Balls Licking|Tea Bag,VNDB
tag_574ff46990,Band,SFW,Theme,,AniList
tag_b4f13dc730,Bandages,NSFW,Character,bandages|绷带,E-Hentai|NHentai
tag_b2b8b2d59f,Bandaid,NSFW,Character,bandaid|创可贴,E-Hentai|NHentai
tag_37b51d194a,Bar,SFW,Theme,Pub|Tavern,AniList|VNDB
tag_4a9ebbf550,Bara,NSFW,Sexual,Mens' Love|薔薇,VNDB
tag_b2b86d6660,Barmaid Heroine,SFW,Character,alewife heroine|barkeep heroine|bartender heroine,VNDB
tag_a1aaca044c,Bartender Hero,SFW,Character,Barkeep Hero,VNDB
tag_b06176fa9d,Bartender Protagonist,SFW,Character,,VNDB
tag_276f8db0b8,Baseball,SFW,Theme,,AniList|Kitsu|VNDB
tag_2ade7509a9,Baseball Club,SFW,Theme,,VNDB
tag_679f269de9,Based on a Light Novel,SFW,Format,Based on an LN,VNDB
tag_bc0e5aca9d,Based on a Manga,SFW,Format,Manga Adaptation,VNDB
tag_a52be46371,Based on a Movie,SFW,Format,Based on a Feature Film,VNDB
tag_2034e32d6a,Based on a TV Show,SFW,Format,Based on a Television Program|Based on a Television Show,VNDB
tag_cc33e92c8f,Based on a Video Game,SFW,Format,,VNDB
tag_5948852248,Based on a Web Novel,SFW,Format,Based on a Web Serial,VNDB
tag_1bd7fdd77e,Based on Actual Events,SFW,Theme,Based on a True Story,VNDB
tag_5f369b1791,Based on an Anime,SFW,Format,,VNDB
tag_5b386ca176,Based on Audio Drama,SFW,Format,Based on Radio Drama|Based on Voice Drama,VNDB
tag_98fb02868e,Based on Theatre,SFW,Format,Based on a Ballet|Based on a Opera|Based on a Play|Based on a Stage Production,VNDB
tag_d0199f51d2,Basketball,SFW,Theme,,AniList|Kitsu|VNDB
tag_f8debcb3e5,Bat Boy,NSFW,Character,bat boy|蝙蝠男,E-Hentai
tag_7661ac7ef9,Bat Girl,NSFW,Character,bat girl|蝙蝠娘,E-Hentai|NHentai
tag_418fc89505,Bathroom Sex,NSFW,Acts,,VNDB
tag_2365c7537a,Battle of Wits,SFW,Theme,,VNDB
tag_2b1914f4af,Battle Royale,SFW,Theme,Game of Murder|battle royale,AniList|Kitsu|VNDB
tag_14e56e9228,Bbm,NSFW,Character,bbm|胖男人,E-Hentai|NHentai
tag_823ef2e603,Bbw,NSFW,Character,bbw|胖女人,E-Hentai|NHentai
tag_2047a58fb1,Bdsm,NSFW,Fetish,BDSM|bdsm|调教,E-Hentai|NHentai|VNDB
tag_7193529abb,Beach,SFW,Theme,,VNDB
tag_893b56e3cf,Bear,NSFW,Character,bear|熊🐻,E-Hentai|NHentai
tag_e8d416c161,Bear Boy,NSFW,Character,bear boy|狗熊男,E-Hentai
tag_e701ae746e,Bear Girl,NSFW,Character,bear girl|狗熊娘,E-Hentai|NHentai
tag_b6f5ff35f8,Beast Tamer,SFW,Character,Familiar Master|Monster Tamer,ManhwaTaxonomy
tag_12d8332e97,Beat 'em Up,SFW,Format,Brawler,VNDB
tag_51861ff45b,Beautician Hero,SFW,Character,Cosmetician Hero|Hair Stylist Hero|Makeup Artist Hero,VNDB
tag_6c86b2599f,Beauty Mark,NSFW,Character,beauty mark|美人痣,E-Hentai|NHentai
tag_df961bdf29,Beauty Pageant,SFW,Theme,Beauty Contest,VNDB
tag_d1c646a6a1,Bee Boy,NSFW,Character,bee boy|蜂男,E-Hentai
tag_43a2d29812,Bee Girl,NSFW,Character,bee girl|蜂女,E-Hentai|NHentai
tag_4e0d5d8cd9,Being in Heat,NSFW,Sexual,Estrus cycle,VNDB
tag_865f95d2de,Bellyjob,NSFW,Sexual,,VNDB
tag_c4ee0396be,Bestiality,NSFW,Sexual,Zoophilia|bestiality|兽交,E-Hentai|NHentai|VNDB
